id,tag,name
1,BTC,Bitcoin
2,ETH,Ethereum
3,USDT,Tether
4,BNB,BNB
5,USDC,USD Coin
6,XRP,XRP
7,BUSD,Binance USD
8,ADA,Cardano
9,DOGE,Dogecoin
10,MATIC,Polygon
11,SOL,Solana
12,OKB,OKB
13,STETH,Lido Staked Ether
14,DOT,Polkadot
15,LTC,Litecoin
16,SHIB,Shiba Inu
17,TRX,TRON
18,AVAX,Avalanche
19,DAI,Dai
20,UNI,Uniswap
21,WBTC,Wrapped Bitcoin
22,ATOM,Cosmos Hub
23,TON,Toncoin
24,LINK,Chainlink
25,LEO,LEO Token
26,XMR,Monero
27,ETC,Ethereum Classic
28,BCH,Bitcoin Cash
29,XLM,Stellar
30,CRO,Cronos
31,NEAR,NEAR Protocol
32,APE,ApeCoin
33,QNT,Quant
34,LDO,Lido DAO
35,ALGO,Algorand
36,FIL,Filecoin
37,VET,VeChain
38,ICP,Internet Computer
39,HBAR,Hedera
40,EOS,EOS
41,MANA,Decentraland
42,AAVE,Aave
43,AXS,Axie Infinity
44,LUNC,Terra Luna Classic
45,FLOW,Flow
46,SAND,The Sandbox
47,FRAX,Frax
48,APT,Aptos
49,EGLD,MultiversX
50,XTZ,Tezos
51,THETA,Theta Network
52,USDP,Pax Dollar
53,BSV,Bitcoin SV
54,HT,Huobi
55,FTM,Fantom
56,TUSD,TrueUSD
57,KCS,KuCoin
58,CHZ,Chiliz
59,USDD,USDD
60,BTT,BitTorrent
61,TWT,Trust Wallet
62,MKR,Maker
63,CAKE,PancakeSwap
64,ZEC,Zcash
65,GRT,The Graph
66,KLAY,Klaytn
67,RPL,Rocket Pool
68,MIOTA,IOTA
69,GUSD,Gemini Dollar
70,DASH,Dash
71,XEC,eCash
72,GT,Gate
73,TKX,Tokenize Xchange
74,BIT,BitDAO
75,NEO,NEO
76,CRV,Curve DAO
77,FLR,Flare
78,CUSDC,cUSDC
79,OKT,OKC
80,PAXG,PAX Gold
81,RUNE,THORChain
82,FXS,Frax Share
83,SNX,Synthetix Network
84,XAUT,Tether Gold
85,CDAI,cDAI
86,MINA,Mina Protocol
87,AR,Arweave
88,CETH,cETH
89,OSMO,Osmosis
90,GMX,GMX
91,IMX,ImmutableX
92,ZIL,Zilliqa
93,NEXO,NEXO
94,XRD,Radix
95,ETHW,EthereumPoW
96,HNT,Helium
97,1INCH,1inch
98,XDC,XDC Network
99,GALA,GALA
100,COMP,Compound
101,OP,Optimism
102,CSPR,Casper Network
103,BTSE,BTSE Token
104,STX,Stacks
105,LUNA,Terra
106,ENS,Ethereum Name Service
107,ENJ,Enjin Coin
108,BAT,Basic Attention
109,HOT,Holo
110,DFI,DeFiChain
111,LN,LINK
112,LRC,Loopring
113,DCR,Decred
114,KAVA,Kava
115,XEM,NEM
116,GMT,STEPN
117,CELO,Celo
118,RVN,Ravencoin
119,WOO,WOO Network
120,CVX,Convex Finance
121,RETH,Rocket Pool ETH
122,NXM,Nexus Mutual
123,BTG,Bitcoin Gold
124,BONE,Bone ShibaSwap
125,KSM,Kusama
126,BGB,Bitget Token
127,SAFEMOON,SafeMoon [OLD]
128,IOTX,IoTeX
129,OHM,Olympus
130,GNO,Gnosis
131,CEL,Celsius Network
132,XCN,Chain
133,OMI,ECOMI
134,BAL,Balancer
135,TFUEL,Theta Fuel
136,FET,Fetch.ai
